All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
P1,A0/DACA_OUT,,AIO227,,,,,,,,,,,,,,,
P2,A1,,AIO228,,,,,,,,,,,,,,,
N3,A2,,AIO229,,,,,,,,,,,,,,,
N4,A3,,AIO230,,,,,,,,,,,,,,,
M4,A4,,AIO231,,,,,,,,,,,,,,,
M5,A5,,AIO232,,,,,,,,,,,,,,,
T2,B0/VDAC,,AIO233,,,,,,,,,,,,,,,
T3,B1/DACC_OUT,,AIO234,,,,,,,,,,,,,,,
R3,B2,,AIO235,,,,,,,,,,,,,,,
P3,B3,,AIO236,,,,,,,,,,,,,,,
L4,C2,,AIO237,,,,,,,,,,,,,,,
T4,VREFLOB,VREFLOB
R4,VREFHIB,VREFHIB
F15,VSSOSC,VSSOSC
A1,VSS,VSS
H7,VSS,VSS
H8,VSS,VSS
J7,VSS,VSS
E7,GPIO5,,GPIO5,EPWM3_B,,OUTPUTXBAR3,GPIO5,CLB_OUTPUTXBAR3,CANA_RX,,GPIO5,MCANA_RX,ESC_GPI5,,GPIO5,FSIRXA_CLK,,
F7,GPIO6,,GPIO6,EPWM4_A,OUTPUTXBAR4,EXTSYNCOUT,GPIO6,EQEP3_A,MCANB_TX,LINA_TX,GPIO6,EMIF1_DQM0,ESC_GPI6,,GPIO6,FSITXB_D0,,
A6,GPIO7,,GPIO7,EPWM4_B,,OUTPUTXBAR5,GPIO7,EQEP3_B,MCANB_RX,LINA_RX,GPIO7,EMIF1_DQM1,ESC_GPI7,,GPIO7,FSITXB_D1,,
D1,GPIO8,,GPIO8,EPWM5_A,EMIF1_RAS,ADCSOCAO,GPIO8,EQEP3_STROBE,SCIA_TX,CLB_OUTPUTXBAR4,GPIO8,MCANA_TX,ESC_GPO0,,GPIO8,FSITXB_CLK,FSITXA_D1,FSIRXA_D0
E1,GPIO9,,GPIO9,EPWM5_B,SCIB_TX,OUTPUTXBAR6,GPIO9,EQEP3_INDEX,SCIA_RX,,GPIO9,,ESC_GPO1,,GPIO9,FSIRXB_D0,FSITXA_D0,FSIRXA_CLK
D3,GPIO16,,GPIO16,SPIA_PICO,,OUTPUTXBAR7,GPIO16,EPWM9_A,,SD1_D1,GPIO16,,,EQEP5_B,GPIO16,FSIRXD_D1,,ESC_RX1_CLK
E3,GPIO17,,GPIO17,SPIA_POCI,,OUTPUTXBAR8,GPIO17,EPWM9_B,,SD1_C1,GPIO17,,,EQEP5_STROBE,GPIO17,FSIRXD_CLK,,ESC_RX1_DV
F3,GPIO18,,GPIO18,SPIA_CLK,SCIB_TX,CANA_RX,GPIO18,EPWM10_A,,SD1_D2,GPIO18,MCANA_RX,EMIF1_CS2n,EQEP5_INDEX,GPIO18,,,ESC_RX1_ERR
B2,GPIO19,,GPIO19,SPIA_PTE,SCIB_RX,CANA_TX,GPIO19,EPWM10_B,,SD1_C2,GPIO19,MCANA_TX,EMIF1_CS3n,,GPIO19,,,ESC_TX1_DATA3
C2,GPIO20,,GPIO20,EQEP1_A,,,GPIO20,EPWM11_A,,SD1_D3,GPIO20,MCANB_TX,EMIF1_BA0,,GPIO20,,SPIC_PICO,ESC_TX1_DATA2
D2,GPIO21,,GPIO21,EQEP1_B,,,GPIO21,EPWM11_B,,SD1_C3,GPIO21,MCANB_RX,EMIF1_BA1,,GPIO21,,SPIC_POCI,ESC_TX1_DATA1
A2,GPIO22,,GPIO22,EQEP1_STROBE,,SCIB_TX,GPIO22,EPWM12_A,SPIB_CLK,SD1_D4,GPIO22,MCANA_TX,EMIF1_RAS,,GPIO22,,SPIC_CLK,ESC_TX1_DATA0
G1,GPIO23,,GPIO23,EQEP1_INDEX,,SCIB_RX,GPIO23,EPWM12_B,SPIB_PTE,SD1_C4,GPIO23,MCANA_RX,EMIF1_CAS,,GPIO23,,SPIC_PTE,ESC_PHY_RESETn
E8,GPIO24,,GPIO24,OUTPUTXBAR1,EQEP2_A,,GPIO24,LINB_TX,SPIB_PICO,SD2_D1,GPIO24,PMBUSA_SCL,EMIF1_DQM0,,GPIO24,EPWM13_A,ESC_RX0_DATA1,ESC_RX0_CLK
L11,GPIO26,,GPIO26,OUTPUTXBAR3,EQEP2_INDEX,,GPIO26,OUTPUTXBAR3,SPIB_CLK,SD2_D2,GPIO26,PMBUSA_ALERT,EMIF1_DQM2,ESC_MDIO_CLK,GPIO26,EPWM14_A,FSITXA_D0,ESC_RX0_ERR
G13,GPIO27,,GPIO27,OUTPUTXBAR4,EQEP2_STROBE,,GPIO27,OUTPUTXBAR4,SPIB_PTE,SD2_C2,GPIO27,PMBUSA_CTL,EMIF1_DQM3,ESC_MDIO_DATA,GPIO27,EPWM14_B,FSITXA_CLK,ESC_RX0_DATA0
N11,GPIO28,,GPIO28,SCIA_RX,EMIF1_CS4n,UARTA_RX,GPIO28,OUTPUTXBAR5,EQEP3_A,SD2_D3,GPIO28,EMIF1_CS2n,,,GPIO28,EPWM15_A,,ESC_RX0_DATA1
P11,GPIO29,,GPIO29,SCIA_TX,EMIF1_SDCKE,UARTA_TX,GPIO29,OUTPUTXBAR6,EQEP3_B,SD2_C3,GPIO29,EMIF1_CS3n,ESC_LATCH0,ESC_I2C_SDA,GPIO29,EPWM15_B,ESC_SYNC0,ESC_RX0_DATA2
J14,GPIO32,,GPIO32,I2CA_SDA,EMIF1_CS0n,SPIA_PICO,GPIO32,EQEP4_A,LINB_TX,CLB_OUTPUTXBAR1,GPIO32,EMIF1_OEn,I2CA_SCL,,GPIO32,,,SPID_CLK
R10,GPIO33,,GPIO33,I2CA_SCL,EMIF1_RNW,SPIA_POCI,GPIO33,EQEP4_B,,CLB_OUTPUTXBAR2,GPIO33,EMIF1_BA0,,ESC_LED_ERR,GPIO33,,,SPID_PTE
P12,GPIO36,,GPIO36,SCIA_TX,EMIF1_WAIT,,GPIO36,,CANA_RX,CLB_OUTPUTXBAR5,GPIO36,EMIF1_A1,MCANA_RX,,GPIO36,SD1_D1,EMIF1_WEn,
N12,GPIO37,,GPIO37,OUTPUTXBAR2,EMIF1_OEn,EPWM18_A,GPIO37,,CANA_TX,CLB_OUTPUTXBAR6,GPIO37,EMIF1_A2,MCANA_TX,,GPIO37,SD1_D2,EMIF1_D24,
M12,GPIO38,,GPIO38,,EMIF1_A0,EPWM18_B,GPIO38,UARTA_TX,SCIB_TX,CLB_OUTPUTXBAR7,GPIO38,EMIF1_A3,,,GPIO38,SD1_D3,EMIF1_CS2n,
P13,GPIO40,,GPIO40,,EMIF1_A2,EPWM13_A,GPIO40,MCANB_RX,I2CB_SDA,SD4_C3,GPIO40,ESC_GPO2,CLB_OUTPUTXBAR1,,GPIO40,SD2_C1,ESC_I2C_SDA,
J12,GPIO44,,GPIO44,SPID_POCI,EMIF1_A4,MCANB_RX,GPIO44,,SD3_C4,UARTB_TX,GPIO44,,CLB_OUTPUTXBAR6,,GPIO44,FSIRXD_CLK,ESC_TX1_CLK,
